iso,Parchman,CMCF,EMCF,Bolivar CCF,Carroll‐Montgmery CCF,George CCF,Marion‐Walthall CCF,Washington CCF,Winston‐Choctaw CCF,Yazoo CCF,Delta CF,Tallahatchie CCF
2020-07-14,2,36,9,0,2,0,14,0,18,0,3,2
2020-07-15,2,37,9,0,2,0,14,0,18,0,3,6
2020-07-16,2,37,9,0,2,0,14,0,18,0,3,6
2020-07-17,3,37,9,0,2,0,14,0,18,0,3,9
2020-07-20,3,38,9,0,2,0,14,0,18,0,3,11
2020-07-21,3,38,9,0,2,6,14,1,18,0,3,11
2020-07-22,3,38,9,1,2,6,14,1,18,0,3,11
2020-07-23,4,38,9,1,2,6,14,1,18,0,3,11
2020-07-24,5,39,9,1,2,6,14,1,18,0,3,11
2020-07-27,7,40,9,1,2,6,14,1,18,0,3,13
2020-07-29,43,41,9,1,2,126,14,1,18,0,3,14
2020-07-30,43,44,9,1,2,233,14,1,18,0,3,14
2020-07-31,43,44,9,1,2,233,14,1,18,0,3,14
2020-08-03,43,44,9,1,2,233,14,1,18,0,3,14
2020-08-04,43,52,9,1,2,233,14,1,18,0,3,14
2020-08-06,44,53,9,1,2,234,15,1,18,0,3,14
2020-08-07,44,53,9,1,2,234,15,2,18,0,3,14
2020-08-11,44,56,9,1,2,234,15,2,18,0,3,14
2020-08-12,44,58,9,1,2,234,15,2,18,0,3,14
2020-08-13,44,58,9,1,2,234,15,2,18,24,3,14
